时间	桩号	地点	车速（km/h）	车牌
time	station	location	m_fSpeed	m_strCarNum
2021/4/25 15:25	K56+400	青龙立交	3878	蓝渝FU0992
2021/4/25 15:25	K56+400	青龙立交	3426	蓝渝F78Y79
2021/4/25 15:25	K56+400	青龙立交	4111	蓝藏A9F682
2021/4/25 15:27	K56+400	青龙立交	5127	蓝渝DLW231
2021/4/25 15:26	K56+400	青龙立交	4406	蓝渝DFU779
2021/4/25 15:27	K56+400	青龙立交	5143	蓝渝F39K68
2021/4/25 15:26	K56+400	青龙立交	5239	蓝渝F3G261
2021/4/25 15:26	K56+400	青龙立交	3662	黄渝A05622F
2021/4/25 15:26	K56+400	青龙立交	5212	蓝渝F05339
2021/4/25 15:26	K56+400	青龙立交	4877	蓝渝F05339
2021/4/25 15:26	K56+400	青龙立交	4633	蓝渝FPV066
2021/4/25 15:28	K56+400	青龙立交	3941	蓝渝A911BV
2021/4/25 15:28	K56+400	青龙立交	4177	蓝渝F2F858
2021/4/25 15:28	K56+400	青龙立交	4214	蓝渝F26F95
2021/4/25 15:26	K56+400	青龙立交	4860	蓝渝A65K33
2021/4/25 15:28	K56+400	青龙立交	4308	蓝渝FEG179
2021/4/25 15:28	K56+400	青龙立交	4336	蓝渝F7A008
2021/4/25 15:26	K56+400	青龙立交	3909	蓝贵JNF836
2021/4/25 15:26	K56+400	青龙立交	4480	蓝渝AF5Q77
2021/4/25 15:26	K56+400	青龙立交	4386	绿渝ADA3506
2021/4/25 15:28	K56+400	青龙立交	4268	蓝渝FX5277
2021/4/25 15:26	K56+400	青龙立交	5094	蓝渝FDU821
2021/4/25 15:28	K56+400	青龙立交	4701	蓝渝A29N69
2021/4/25 15:28	K56+400	青龙立交	4682	蓝渝AL10P9
2021/4/25 15:28	K56+400	青龙立交	4290	蓝渝FV9563
2021/4/25 15:28	K56+400	青龙立交	2568	黄渝D81123
2021/4/25 15:27	K56+400	青龙立交	4360	蓝苏AS1958
2021/4/25 15:27	K56+400	青龙立交	3995	蓝渝AH6M65
2021/4/25 15:29	K56+400	青龙立交	4006	蓝渝A909MC
2021/4/25 15:29	K56+400	青龙立交	4343	蓝渝F238C0
2021/4/25 15:27	K56+400	青龙立交	6281	白渝F2028警
2021/4/25 15:29	K56+400	青龙立交	4941	蓝渝A811EJ
2021/4/25 15:29	K56+400	青龙立交	4739	蓝渝FC9103
2021/4/25 15:29	K56+400	青龙立交	4086	蓝渝F626N2
2021/4/25 15:27	K56+400	青龙立交	5151	蓝渝FKG009
2021/4/25 15:27	K56+400	青龙立交	5548	蓝渝FKK038
2021/4/25 15:29	K56+400	青龙立交	5201	蓝渝F3G066
2021/4/25 15:29	K56+400	青龙立交	4293	蓝渝F186L2
2021/4/25 15:29	K56+400	青龙立交	5199	白渝F2020警
2021/4/25 15:27	K56+400	青龙立交	4400	蓝渝FV7199
2021/4/25 15:29	K56+400	青龙立交	5940	蓝渝FY3812
2021/4/25 15:27	K56+400	青龙立交	4065	蓝渝DNV963
2021/4/25 15:27	K56+400	青龙立交	4800	蓝渝DJE601
2021/4/25 15:28	K56+400	青龙立交	4677	蓝渝A6J8A8
2021/4/25 15:28	K56+400	青龙立交	4597	蓝渝A3VH10
2021/4/25 15:28	K56+400	青龙立交	4611	蓝渝A7258S
2021/4/25 15:28	K56+400	青龙立交	6601	白渝F2298警
2021/4/25 15:30	K56+400	青龙立交	2499	蓝渝AZ3J36
2021/4/25 15:28	K56+400	青龙立交	4803	蓝渝F28W73
2021/4/25 15:30	K56+400	青龙立交	6207	蓝渝FY8371
2021/4/25 15:30	K56+400	青龙立交	2448	蓝渝CM9978
2021/4/25 15:28	K56+400	青龙立交	4644	绿渝AD02551
2021/4/25 15:28	K56+400	青龙立交	3574	蓝渝AL18T0
2021/4/25 15:30	K56+400	青龙立交	4419	蓝渝AJ5B06
2021/4/25 15:28	K56+400	青龙立交	5114	蓝渝B230W9
2021/4/25 15:28	K56+400	青龙立交	3817	蓝渝F851B5
2021/4/25 15:28	K56+400	青龙立交	5043	蓝渝A6XG73
2021/4/25 15:30	K56+400	青龙立交	4753	蓝渝AT3232
2021/4/25 15:28	K56+400	青龙立交	4582	NO
2021/4/25 15:30	K56+400	青龙立交	4020	蓝渝AC52M7
2021/4/25 15:30	K56+400	青龙立交	3970	蓝渝AD200M
2021/4/25 15:30	K56+400	青龙立交	2718	黄渝D07930
2021/4/25 15:30	K56+400	青龙立交	3370	蓝渝A611YG
2021/4/25 15:29	K56+400	青龙立交	4751	蓝渝F1D923
2021/4/25 15:29	K56+400	青龙立交	4349	蓝渝A683XG
2021/4/25 15:31	K56+400	青龙立交	3069	NO
2021/4/25 15:29	K56+400	青龙立交	4737	蓝渝A6LG23
2021/4/25 15:29	K56+400	青龙立交	3976	蓝渝AW31H5
2021/4/25 15:31	K56+400	青龙立交	3936	NO
2021/4/25 15:31	K56+400	青龙立交	3257	蓝渝F29G96
2021/4/25 15:31	K56+400	青龙立交	4034	蓝渝FPQ167
2021/4/25 15:31	K56+400	青龙立交	3279	蓝渝DDZ978
2021/4/25 15:31	K56+400	青龙立交	4182	蓝渝FX2137
2021/4/25 15:31	K56+400	青龙立交	4618	黄渝F05210
2021/4/25 15:29	K56+400	青龙立交	4116	NO
2021/4/25 15:29	K56+400	青龙立交	3728	蓝渝FE9658
2021/4/25 15:29	K56+400	青龙立交	4314	蓝渝FHX515
2021/4/25 15:29	K56+400	青龙立交	4908	蓝渝F510E7
2021/4/25 15:31	K56+400	青龙立交	4222	蓝渝F389K0
2021/4/25 15:29	K56+400	青龙立交	4125	蓝渝F11W97
2021/4/25 15:29	K56+400	青龙立交	5242	蓝渝AZ790C
2021/4/25 15:29	K56+400	青龙立交	4720	蓝渝AU791Z
2021/4/25 15:30	K56+400	青龙立交	5286	蓝渝A9TR86
2021/4/25 15:31	K56+400	青龙立交	4780	蓝渝A0CG38
2021/4/25 15:30	K56+400	青龙立交	4691	蓝渝A9N26C
2021/4/25 15:32	K56+400	青龙立交	4050	蓝渝F183H3
2021/4/25 15:30	K56+400	青龙立交	4710	蓝渝F98Z82
2021/4/25 15:30	K56+400	青龙立交	4470	蓝渝A0CF08
2021/4/25 15:30	K56+400	青龙立交	4615	绿渝AD15131
2021/4/25 15:32	K56+400	青龙立交	4348	蓝渝AY70N0
2021/4/25 15:30	K56+400	青龙立交	4884	蓝渝F3V266
2021/4/25 15:32	K56+400	青龙立交	3966	蓝渝FV6637
2021/4/25 15:30	K56+400	青龙立交	4975	蓝渝FEU969
2021/4/25 15:30	K56+400	青龙立交	4766	蓝渝FEU969
2021/4/25 15:30	K56+400	青龙立交	4735	NO
2021/4/25 15:30	K56+400	青龙立交	3874	蓝渝F2X663
2021/4/25 15:30	K56+400	青龙立交	3981	蓝渝AE5M05
2021/4/25 15:32	K56+400	青龙立交	4660	蓝渝DAP912
2021/4/25 15:30	K56+400	青龙立交	5278	蓝渝F53P98
2021/4/25 15:30	K56+400	青龙立交	4823	蓝渝AT71J9
2021/4/25 15:30	K56+400	青龙立交	4462	蓝渝FKN279
2021/4/25 15:30	K56+400	青龙立交	4521	蓝渝D713L5
2021/4/25 15:30	K56+400	青龙立交	5333	NO
2021/4/25 15:30	K56+400	青龙立交	4864	NO
2021/4/25 15:32	K56+400	青龙立交	4133	蓝渝AL03T8
2021/4/25 15:32	K56+400	青龙立交	3507	蓝粤B9E321
2021/4/25 15:31	K56+400	青龙立交	4118	蓝渝F27B18
2021/4/25 15:31	K56+400	青龙立交	4689	蓝渝A256DP
2021/4/25 15:31	K56+400	青龙立交	4719	蓝渝FDU939
2021/4/25 15:31	K56+400	青龙立交	5114	蓝渝AG511R
2021/4/25 15:31	K56+400	青龙立交	4620	蓝渝AG511R
2021/4/25 15:31	K56+400	青龙立交	4932	蓝渝D750Y5
2021/4/25 15:31	K56+400	青龙立交	5718	蓝渝F26F66
2021/4/25 15:33	K56+400	青龙立交	5015	蓝渝A8812V
2021/4/25 15:33	K56+400	青龙立交	2746	NO
2021/4/25 15:31	K56+400	青龙立交	5780	蓝渝FD3779
2021/4/25 15:31	K56+400	青龙立交	4775	NO
2021/4/25 15:31	K56+400	青龙立交	5169	蓝渝AJ6Y31
2021/4/25 15:31	K56+400	青龙立交	5221	蓝渝F6A660
2021/4/25 15:33	K56+400	青龙立交	3651	蓝陕AW7A15
2021/4/25 15:31	K56+400	青龙立交	5003	蓝渝A2FW23
2021/4/25 15:31	K56+400	青龙立交	4669	蓝渝A57MA6
2021/4/25 15:31	K56+400	青龙立交	4606	蓝渝FBM566
2021/4/25 15:33	K56+400	青龙立交	4129	蓝渝A227NM
2021/4/25 15:31	K56+400	青龙立交	4492	蓝渝D39943
2021/4/25 15:33	K56+400	青龙立交	4622	蓝渝F838E2
2021/4/25 15:31	K56+400	青龙立交	5692	蓝渝A5509T
2021/4/25 15:31	K56+400	青龙立交	5164	蓝渝DJB775
2021/4/25 15:31	K56+400	青龙立交	4732	蓝渝A0QV57
2021/4/25 15:33	K56+400	青龙立交	4354	蓝渝AV37D1
2021/4/25 15:33	K56+400	青龙立交	4290	蓝渝DJS692
2021/4/25 15:34	K56+400	青龙立交	4115	蓝渝AZ652G
2021/4/25 15:34	K56+400	青龙立交	3582	蓝渝A7XD75
2021/4/25 15:32	K56+400	青龙立交	3194	蓝渝F72B80
2021/4/25 15:32	K56+400	青龙立交	4457	蓝渝A87KW7
2021/4/25 15:32	K56+400	青龙立交	4339	蓝渝FF3153
2021/4/25 15:34	K56+400	青龙立交	2147	黄渝DE7700
2021/4/25 15:34	K56+400	青龙立交	4179	蓝渝AX334Z
2021/4/25 15:34	K56+400	青龙立交	4863	蓝渝DDP198
2021/4/25 15:34	K56+400	青龙立交	2116	黄渝D84718
2021/4/25 15:32	K56+400	青龙立交	5000	蓝渝FAT252
2021/4/25 15:32	K56+400	青龙立交	4297	蓝渝D83T99
2021/4/25 15:32	K56+400	青龙立交	4620	蓝渝F16K66
2021/4/25 15:34	K56+400	青龙立交	4506	蓝渝AM3K21
2021/4/25 15:34	K56+400	青龙立交	4697	蓝渝DHW300
2021/4/25 15:33	K56+400	青龙立交	4630	蓝渝F9U029
2021/4/25 15:33	K56+400	青龙立交	4711	蓝渝AX001C
2021/4/25 15:33	K56+400	青龙立交	5764	蓝渝F689N6
2021/4/25 15:35	K56+400	青龙立交	5261	白渝F3022警
2021/4/25 15:33	K56+400	青龙立交	6593	蓝渝F90M88
2021/4/25 15:35	K56+400	青龙立交	3970	蓝渝A53TY8
2021/4/25 15:33	K56+400	青龙立交	3169	蓝渝F88B11
2021/4/25 15:35	K56+400	青龙立交	4375	蓝渝FRS086
2021/4/25 15:33	K56+400	青龙立交	3509	蓝渝AE87M1
2021/4/25 15:35	K56+400	青龙立交	4123	蓝渝AT397E
2021/4/25 15:33	K56+400	青龙立交	4874	蓝渝AA6T86
2021/4/25 15:35	K56+400	青龙立交	4257	蓝渝A573RS
2021/4/25 15:35	K56+400	青龙立交	5579	蓝渝FF8930
2021/4/25 15:33	K56+400	青龙立交	4812	蓝渝F632L2
2021/4/25 15:33	K56+400	青龙立交	5607	蓝渝A261LQ
2021/4/25 15:35	K56+400	青龙立交	4366	蓝渝DL7745
2021/4/25 15:34	K56+400	青龙立交	5081	蓝渝FBF288
2021/4/25 15:35	K56+400	青龙立交	4578	蓝渝FE9679
2021/4/25 15:34	K56+400	青龙立交	5040	蓝渝F2D598
2021/4/25 15:34	K56+400	青龙立交	5292	蓝渝D7R555
2021/4/25 15:34	K56+400	青龙立交	4332	蓝渝D236Y3
2021/4/25 15:36	K56+400	青龙立交	4421	蓝渝FDA252
2021/4/25 15:36	K56+400	青龙立交	3811	蓝渝FLZ833
2021/4/25 15:36	K56+400	青龙立交	3828	蓝渝F5A356
2021/4/25 15:34	K56+400	青龙立交	4034	NO
2021/4/25 15:36	K56+400	青龙立交	4899	蓝豫GL5T87
2021/4/25 15:34	K56+400	青龙立交	4553	蓝渝A990UL
2021/4/25 15:34	K56+400	青龙立交	4484	蓝渝FD8231
2021/4/25 15:34	K56+400	青龙立交	4738	蓝渝DH3230
2021/4/25 15:36	K56+400	青龙立交	4537	蓝渝AT867D
2021/4/25 15:36	K56+400	青龙立交	3264	黄渝F29690
2021/4/25 15:36	K56+400	青龙立交	3137	蓝渝AE5H62
2021/4/25 15:36	K56+400	青龙立交	3814	蓝渝F938G1
2021/4/25 15:36	K56+400	青龙立交	4730	蓝渝F15D99
2021/4/25 15:36	K56+400	青龙立交	4385	蓝渝F85A70
2021/4/25 15:35	K56+400	青龙立交	3691	蓝渝A303PE
2021/4/25 15:37	K56+400	青龙立交	3103	蓝渝FHP639
2021/4/25 15:37	K56+400	青龙立交	3135	蓝渝AZ7G87
2021/4/25 15:37	K56+400	青龙立交	4060	蓝渝AT0V89
2021/4/25 15:35	K56+400	青龙立交	4597	蓝渝FV7676
2021/4/25 15:37	K56+400	青龙立交	4539	蓝渝FV6077
2021/4/25 15:37	K56+400	青龙立交	4647	蓝川AXJ242
2021/4/25 15:35	K56+400	青龙立交	5990	蓝渝AD098E
2021/4/25 15:35	K56+400	青龙立交	4826	蓝渝D93M36
